Year,Region,Country,Both,Male,Female
2022,Eastern Mediterranean,Afghanistan,48.6,44.1,52.7
2022,Europe,Albania,62.2,66.5,57.7
2022,Africa,Algeria,57.6,50.3,65.2
2022,Western Pacific,American Samoa,91.4,90,92.6
2022,Europe,Andorra,48.2,56.5,39.3
2022,Africa,Angola,31.8,22.3,40.5
2022,Americas,Antigua and Barbuda,62.7,54,70.4
2022,Americas,Argentina,68.4,71.9,65.1
2022,Europe,Armenia,55.4,51.4,57.5
2022,Western Pacific,Australia,64,70.3,57.7
2022,Europe,Austria,45,56.5,33.4
2022,Europe,Azerbaijan,61.7,59.1,63.6
2022,Americas,Bahamas,75.8,69.8,81.2
2022,Eastern Mediterranean,Bahrain,68.7,66.2,72.9
2022,South-East Asia,Bangladesh,27,20.3,33.4
2022,Americas,Barbados,67.2,58.1,75.6
2022,Europe,Belarus,55.4,61,49.9
2022,Europe,Belgium,51.1,55.3,46.8
2022,Americas,Belize,72.8,65.7,79.8
2022,Africa,Benin,30.1,23.6,36.2
2022,Americas,Bermuda,62.5,54,70.6
2022,South-East Asia,Bhutan,46.7,41,53.2
2022,Americas,Bolivia (Plurinational State of),65.1,61.4,68.7
2022,Europe,Bosnia and Herzegovina,56.9,66.6,46.6
2022,Africa,Botswana,42,27.4,55.1
2022,Americas,Brazil,63,61.4,64.4
2022,Western Pacific,Brunei Darussalam,69.6,69.6,69.7
2022,Europe,Bulgaria,52,61,42.3
2022,Africa,Burkina Faso,21.7,17.4,25.8
2022,Africa,Burundi,16.3,21.3,11.8
2022,Africa,Cote d'Ivoire,46.7,37.3,55.8
2022,Africa,Cabo Verde,25.1,21.1,29
2022,Western Pacific,Cambodia,39.5,32.3,46.5
2022,Africa,Cameroon,59.2,64.7,53.6
2022,Americas,Canada,23.7,17.9,29.2
2022,Africa,Central African Republic,21.4,23,20.1
2022,Africa,Chad,78.8,78.5,79
2022,Americas,Chile,37.5,42.7,31.6
2022,Western Pacific,China,59.7,56.3,62.9
2022,Americas,Colombia,42.9,30.9,54.9
2022,Africa,Comoros,24.2,14.8,33.2
2022,Africa,Congo,88.3,86.1,90.1
2022,Western Pacific,Cook Islands,66.9,61.4,72.3
2022,Americas,Costa Rica,34.5,29.7,39.6
2022,Europe,Croatia,64.2,71.6,56.2
2022,Americas,Cuba,55.6,52.9,58.1
2022,Europe,Cyprus,53.8,61.8,45.6
2022,Europe,Czechia,59.5,68.4,50.2
2022,South-East Asia,Democratic People's Republic of Korea,37,33.3,40.8
2022,South-East Asia,Democratic Republic of the Congo,21.8,16,27.4
2022,Europe,Denmark,44.9,54.3,35.6
2022,Eastern Mediterranean,Djibouti,29.8,21.4,37.9
2022,Americas,Dominica,59,42.4,75.4
2022,Americas,Dominican Republic,63.3,57.3,69.3
2022,Americas,Ecuador,66.8,63.9,69.4
2022,Eastern Mediterranean,Egypt,73.4,64.8,81.9
2022,Americas,El Salvador,66.2,60.4,71
2022,Africa,Equatorial Guinea,39.5,24.1,57.7
2022,Africa,Eritrea,17.2,14,20.1
2022,Europe,Estonia,57.2,65.9,47.9
2022,Africa,Eswatini,57.1,41,72.6
2022,Africa,Ethiopia,10.9,6.7,14.9
2022,Western Pacific,Fiji,65.8,59.3,72
2022,Europe,Finland,55.3,60.3,50
2022,Europe,France,34.3,39.6,29.5
2022,Western Pacific,French Polynesia,73.6,75,72
2022,Africa,Gabon,46.9,35.2,59.2
2022,Africa,Gambia,40.9,35.1,46.3
2022,Europe,Georgia,65.8,68.2,62.4
2022,Europe,Germany,53.8,62.7,44.9
2022,Africa,Ghana,36.7,24,48.9
2022,Europe,Greece,61.4,68.1,54.7
2022,Europe,Greenland,59,56.4,61.6
2022,Americas,Grenada,59.9,49.2,70.6
2022,Americas,Guatemala,63.2,59.1,67
2022,Africa,Guinea,28.6,22,34.5
2022,Africa,Guinea-Bissau,32.1,25.9,37.7
2022,Americas,Guyana,56.4,45.4,66.5
2022,Americas,Haiti,29.9,21,38.4
2022,Americas,Honduras,63.8,58,69.4
2022,Europe,Hungary,62.2,71,53.2
2022,Europe,Iceland,57.4,65.9,48.2
2022,South-East Asia,India,29.5,27.4,31.6
2022,South-East Asia,Indonesia,38.1,28.4,47.8
2022,Eastern Mediterranean,Iran (Islamic Republic of),60.4,55.7,65
2022,Eastern Mediterranean,Iraq,73.3,68.4,77.9
2022,Europe,Ireland,64.7,68.9,60.7
2022,Europe,Israel,54.3,60.7,48
2022,Europe,Italy,49.2,56.4,41.8
2022,Americas,Jamaica,61.1,47.2,74.4
2022,Western Pacific,Japan,24,32.3,15.6
2022,Eastern Mediterranean,Jordan,69.9,66.6,73.4
2022,Europe,Kazakhstan,53.1,57.5,48.4
2022,Africa,Kenya,33.7,22,45.1
2022,Western Pacific,Kiribati,79.1,74.4,83.3
2022,Eastern Mediterranean,Kuwait,77.8,78.4,77.9
2022,Europe,Kyrgyzstan,58.1,55.9,59.4
2022,Western Pacific,Lao People's Democratic Republic,31,27.5,34.5
2022,Europe,Latvia,59.3,67.9,50.3
2022,Eastern Mediterranean,Lebanon,65.1,71,59.3
2022,Africa,Lesotho,42.3,25.9,57.9
2022,Africa,Liberia,37.9,30.3,45.3
2022,Eastern Mediterranean,Libya,67.6,62.2,72.8
2022,Europe,Lithuania,58.7,67.7,48.6
2022,Europe,Luxembourg,51.5,60.2,42.5
2022,Africa,Madagascar,17,16.5,17.4
2022,Africa,Malawi,24.3,15.3,32.3
2022,Western Pacific,Malaysia,54.9,52,57.9
2022,South-East Asia,Maldives,52.5,47.9,59.4
2022,Africa,Mali,33.3,31.5,35.2
2022,Europe,Malta,64.7,71.4,56.7
2022,Western Pacific,Marshall Islands,73.2,68.4,78
2022,Africa,Mauritania,47.2,28.5,64
2022,Africa,Mauritius,51.1,46.6,55.4
2022,Americas,Mexico,73.4,71.2,75.3
2022,Western Pacific,Micronesia (Federated States of),71.7,64.7,78.4
2022,Western Pacific,Mongolia,58.1,55.6,60
2022,Europe,Montenegro,50,58,41.7
2022,Eastern Mediterranean,Morocco,55,45.8,64.1
2022,Africa,Mozambique,27.2,20.4,33.2
2022,South-East Asia,Myanmar,27,21.2,32.8
2022,Africa,Namibia,36.5,27.1,44.8
2022,Western Pacific,Nauru,88.8,89,88.5
2022,South-East Asia,Nepal,30.9,27.1,34.2
2022,Europe,Netherlands (Kingdom of the),45.9,52.3,39.5
2022,Western Pacific,New Zealand,67.4,71,64
2022,Americas,Nicaragua,67.2,62.9,71.2
2022,Africa,Niger,18,13.9,22.2
2022,Africa,Nigeria,34.3,27.7,40.9
2022,Western Pacific,Niue,88.5,87,89.4
2022,Europe,North Macedonia,61.8,67.9,55.4
2022,Europe,Norway,57.5,66.2,48.5
2022,Eastern Mediterranean,"occupied Palestinian territory, including east Jerusalem",68.8,63.9,73.3
2022,Eastern Mediterranean,Oman,66.2,64.9,68.8
2022,Eastern Mediterranean,Pakistan,54.8,52.8,56.8
2022,Western Pacific,Palau,71.3,69.7,72.7
2022,Americas,Panama,71.6,67.2,75.9
2022,Western Pacific,Papua New Guinea,51.4,46.8,56.2
2022,Americas,Paraguay,69.1,66.8,71.4
2022,Americas,Peru,68.1,65.5,70.6
2022,Western Pacific,Philippines,35,32.1,37.8
2022,Europe,Poland,62.7,73.9,51.4
2022,Europe,Portugal,54.7,60.3,49.3
2022,Americas,Puerto Rico,73.5,71.2,75.6
2022,Eastern Mediterranean,Qatar,76.6,76.7,76.4
2022,Western Pacific,Republic of Korea,35.9,46,24.9
2022,Europe,Republic of Moldova,61.2,67.9,54.2
2022,Europe,Romania,65.1,73.8,56.1
2022,Europe,Russian Federation,58.8,66.6,50.4
2022,Africa,Rwanda,19.8,11.5,27.3
2022,Americas,Saint Kitts and Nevis,75.5,68.5,81.9
2022,Americas,Saint Lucia,62.6,49,75.8
2022,Americas,Saint Vincent and the Grenadines,61.5,48.2,75.4
2022,Western Pacific,Samoa,87.7,83.1,92.2
2022,Africa,Sao Tome and Principe,42.6,32.7,52.6
2022,Eastern Mediterranean,Saudi Arabia,71.8,71.2,73.7
2022,Africa,Senegal,30.2,18.9,40
2022,Europe,Serbia,54.3,67.3,40.9
2022,Africa,Seychelles,60.8,52.8,69.5
2022,Africa,Sierra Leone,22.8,13.3,32.2
2022,Western Pacific,Singapore,40.7,47,33.5
2022,Europe,Slovakia,60.6,72,48.8
2022,Europe,Slovenia,54.9,65.9,42.6
2022,Western Pacific,Solomon Islands,56.9,53.4,60.5
2022,Eastern Mediterranean,Somalia,34.9,20.6,48.5
2022,Africa,South Africa,55.1,37.2,71.3
2022,Eastern Mediterranean,South Sudan,24.2,17.6,30.2
2022,Europe,Spain,49.9,59.9,39.8
2022,South-East Asia,Sri Lanka,38.8,31.1,45.4
2022,Eastern Mediterranean,Sudan,38.9,32.1,45.4
2022,Americas,Suriname,58.1,48.6,67.2
2022,Europe,Sweden,50.6,59.6,41.1
2022,Europe,Switzerland,40.6,52.2,29
2022,Eastern Mediterranean,Syrian Arab Republic,71.1,69,73
2022,Europe,Tï¿½rkiye,67.6,65.2,69.7
2022,Europe,Tajikistan,58.9,60.6,57
2022,South-East Asia,Thailand,45.7,41.4,49.5
2022,South-East Asia,Timor-Leste,14.4,11.6,17.3
2022,Africa,Togo,31,21.9,40
2022,Western Pacific,Tokelau,90.2,88.4,91.8
2022,Western Pacific,Tonga,90.4,86.4,94
2022,Americas,Trinidad and Tobago,57.7,53,62
2022,Eastern Mediterranean,Tunisia,57.4,51,63.3
2022,Europe,Turkmenistan,57,59.7,54.1
2022,Western Pacific,Tuvalu,85.8,82.5,88.8
2022,Africa,Uganda,23.8,15.5,31.2
2022,Europe,Ukraine,56.1,57.8,53.9
2022,Eastern Mediterranean,United Arab Emirates,71.3,71.8,69.7
2022,Europe,United Kingdom of Great Britain and Northern Ireland,61.4,65.5,57.5
2022,Africa,United Republic of Tanzania,32.2,23.1,40.8
2022,Americas,United States of America,72.4,74.7,70.3
2022,Americas,Uruguay,67.6,70.1,65
2022,Europe,Uzbekistan,62.5,60.6,63.9
2022,Western Pacific,Vanuatu,51.3,45.5,57.1
2022,Americas,Venezuela (Bolivarian Republic of),53.5,52.7,53.8
2022,Western Pacific,Viet Nam,18.2,18.7,17.5
2022,Eastern Mediterranean,Yemen,37.3,33,41.5
2022,Africa,Zambia,29.9,20.3,38.5
2022,Africa,Zimbabwe,34.5,19.6,46.2
